Nome,Tipologia,Denominazione,Descrizione,Valore minimo,Valore massimo,Materia prima,Regione,Province,Città
Vino 'Vin Santo di Carmignano' Occhio Di Pernice Riserva,vino 'Occhio Di Pernice Riserva',DOC vino 'Vin Santo di Carmignano',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Prato, Provincia di Prato","Carmignano, Poggio a Caiano"
Vino 'Vin Santo di Carmignano' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo di Carmignano',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,"Provincia di Prato, Provincia di Prato","Carmignano, Poggio a Caiano"
Vino 'Vin Santo di Carmignano' Bianco Riserva,vino 'Bianco Riserva',DOC vino 'Vin Santo di Carmignano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 25%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 75%",75%,25%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Prato, Provincia di Prato","Carmignano, Poggio a Caiano"
Vino 'Vin Santo di Carmignano' Bianco,vino 'Bianco',DOC vino 'Vin Santo di Carmignano',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 25%, Vitigno 'Trebbiano Toscano', Vitigno 'Malvasia Bianca Lunga': minimo (>=) 75%",75%,25%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,"Provincia di Prato, Provincia di Prato","Carmignano, Poggio a Caiano"
Vino 'Vin Santo di Montepulciano' Bianco Riserva,vino 'Bianco Riserva',DOC vino 'Vin Santo di Montepulciano',"Vitigno 'Altre Varietà A Bacca Bianca': minimo (>=) 30%, Vitigno 'Malvasia Bianca Lunga', Vitigno 'Grechetto Bianco (Localmente Detto Pulcinculo)', Vitigno 'Trebbiano Toscano': minimo (>=) 70%","30%, 70%",,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Grechetto Bianco (Localmente Detto Pulcinculo)', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Siena,Montepulciano
Vino 'Vin Santo di Montepulciano' Bianco,vino 'Bianco',DOC vino 'Vin Santo di Montepulciano',"Vitigno 'Altre Varietà A Bacca Bianca': minimo (>=) 30%, Vitigno 'Malvasia Bianca Lunga', Vitigno 'Grechetto Bianco (Localmente Detto Pulcinculo)', Vitigno 'Trebbiano Toscano': minimo (>=) 70%","30%, 70%",,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Grechetto Bianco (Localmente Detto Pulcinculo)', Vitigno 'Malvasia Bianca Lunga', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Siena,Montepulciano
Vino 'Vin Santo di Montepulciano' Occhio Di Pernice,vino 'Occhio Di Pernice',DOC vino 'Vin Santo di Montepulciano',"Vitigno 'Altre Varietà A Bacca Bianca O Nera': massimo (<=) 50%, Vitigno 'Sangiovese': minimo (>=) 50%",50%,50%,"Vitigno 'Altre Varietà A Bacca Bianca O Nera', Vitigno 'Sangiovese'",Toscana,Provincia di Siena,Montepulciano
Vino 'Vino Nobile di Montepulciano' Rosso,vino 'Rosso',DOCG vino 'Vino Nobile di Montepulciano',"Vitigno 'Altre Varietà': massimo (>=) 30%, Vitigno 'Sangiovese': minimo (>=) 70%, Vitigno 'Varietà A Bacca Bianca': massimo (>=) 5%",70%,"30%, 5%","Vitigno 'Altre Varietà', Vitigno 'Sangiovese', Vitigno 'Varietà A Bacca Bianca'",Toscana,Provincia di Siena,Montepulciano
Vino 'Vino Nobile di Montepulciano' Rosso Riserva,vino 'Rosso Riserva',DOCG vino 'Vino Nobile di Montepulciano',"Vitigno 'Altre Varietà': massimo (>=) 30%, Vitigno 'Sangiovese': minimo (>=) 70%, Vitigno 'Varietà A Bacca Bianca': massimo (>=) 5%",70%,"30%, 5%","Vitigno 'Altre Varietà', Vitigno 'Sangiovese', Vitigno 'Varietà A Bacca Bianca'",Toscana,Provincia di Siena,Montepulciano
Vino 'Amarone della Valpolicella Valpantena' Rosso Valpantena,vino 'Rosso Valpantena',DOCG vino 'Amarone della Valpolicella Valpantena',"Vitigno 'Altre Varietà A Bacca Nera': massimo (>=) 25%, Vitigno 'Corvina', Vitigno 'Corvinone': massimo (>=) 95%, Vitigno 'Corvina', Vitigno 'Corvinone': minimo (>=) 45%, Vitigno 'Corvinone': massimo (>=) 50%, Vitigno 'Rondinella': massimo (>=) 30%, Vitigno 'Rondinella': minimo (>=) 5%","45%, 5%","25%, 30%, 50%, 95%","Vitigno 'Altre Varietà A Bacca Nera', Vitigno 'Corvina', Vitigno 'Corvinone', Vitigno 'Rondinella'",Toscana,Provincia di Siena,
Vino 'Bianco dell'Empolese' Vin Santo,vino 'Vin Santo',DOC vino 'Bianco dell'Empolese',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 40%, Vitigno 'Moscato Bianco': 0, Vitigno 'Trebbiano Toscano': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Moscato Bianco', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Agrigento,"Capraia e Limite, Cerreto Guidi, Empoli, Fucecchio, Montelupo Fiorentino"
Vino 'Bianco dell'Empolese' Bianco,vino 'Bianco',DOC vino 'Bianco dell'Empolese',"Vitigno 'Altre Varietà A Bacca Bianca': massimo (<=) 40%, Vitigno 'Trebbiano Toscano': minimo (>=) 60%",60%,40%,"Vitigno 'Altre Varietà A Bacca Bianca', Vitigno 'Trebbiano Toscano'",Toscana,Provincia di Agrigento,"Capraia e Limite, Cerreto Guidi, Empoli, Fucecchio, Montelupo Fiorentino"
